,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,Cayenne,4.9333,-52.3333,298.17,94,75,0.51,GF,1662890250
311,Tamala,52.541,43.2515,288.84,38,55,2.85,RU,1662890251
312,Sørland,67.667,12.6934,284.07,76,100,5.37,NO,1662890251
313,Leshukonskoye,64.8989,45.7622,285.39,64,70,1.68,RU,1662890251
314,Flinders,-34.5833,150.8552,286.75,65,0,5.4,AU,1662889969
315,Shelburne,44.0787,-80.2041,290.79,89,100,2.81,CA,1662890252
316,São Miguel,-5.4667,-35.3667,296.58,74,32,6.03,BR,1662890252
317,Ati,13.2154,18.3353,305.64,42,83,2.06,TD,1662890252
318,Bansang,13.4333,-14.65,296.76,94,96,2.64,GM,1662890253
319,Vilhena,-12.7406,-60.1458,292.95,59,26,1.45,BR,1662890148
320,Batemans Bay,-35.7167,150.1833,285.98,75,0,0.73,AU,1662890254
321,Jining,35.405,116.5814,299.46,52,11,0.58,CN,1662890254
322,Kumul,42.8,93.45,308.5,10,0,0.48,CN,1662890205
323,Pochutla,15.7432,-96.4661,296.94,78,100,1.17,MX,1662890254
324,Erenhot,43.6475,111.9767,302.98,16,8,4.54,CN,1662890119
325,Jiangyou,31.7667,104.7167,298.21,72,87,0.83,CN,1662890255
326,La Ronge,55.1001,-105.2842,284.29,76,40,3.09,CA,1662890255
327,Barão de Melgaço,-16.1944,-55.9675,293.51,57,13,1.71,BR,1662890255
328,Amahai,-3.3333,128.9167,298.79,85,81,0.95,ID,1662890256
329,Muros,42.7762,-9.0603,297.64,76,96,2.77,ES,1662890256
330,Wolfsburg,52.4333,10.8,295.5,74,36,2.76,DE,1662890256
331,Kamenka,51.3223,42.7678,289.98,33,54,4.68,RU,1662890257
332,Lüderitz,-26.6481,15.1594,295.36,43,13,11.24,NA,1662890257
333,Tabas,33.5959,56.9244,310.27,13,27,1.03,IR,1662890257
334,Cap Malheureux,-19.9842,57.6142,297.85,59,2,4.92,MU,1662890258
335,‘Ewa Beach,21.3156,-158.0072,299.12,76,0,1.79,US,1662890258
336,Bambanglipuro,-7.95,110.2833,298.88,85,94,5.59,ID,1662890258
337,Sur,22.5667,59.5289,307.47,43,66,2.97,OM,1662890258
338,Geelong,-38.1471,144.3607,284.3,90,100,5.66,AU,1662890224
339,Pacific Grove,36.6177,-121.9166,294.01,86,99,0.45,US,1662890259
340,Rome,43.2128,-75.4557,291.33,91,100,1.92,US,1662890259
341,Gurupi,-11.7292,-49.0686,299.83,29,31,1.34,BR,1662890092
342,Karratha,-20.7377,116.8463,297.79,48,0,4.26,AU,1662890260
343,Auki,-8.7676,160.7034,297.86,87,48,2.07,SB,1662890260
344,Porto Velho,-8.7619,-63.9039,297.18,94,20,1.54,BR,1662890128
345,Naviraí,-23.065,-54.1906,287.86,53,4,1.24,BR,1662890260
346,Mbanza-Ngungu,-5.25,14.8667,299.49,54,89,3.99,CD,1662890261
347,Ust'-Karsk,52.7011,118.8077,284.2,69,99,1.53,RU,1662890262
348,Xiangxiang,27.7333,112.5333,304.95,38,7,2.47,CN,1662890262
349,Ossora,59.2353,163.0719,282.67,83,80,2.03,RU,1662890262
350,Malakal,9.5334,31.6605,302.14,67,75,3.18,SS,1662890263
351,Omsukchan,62.5333,155.8,278.0,84,100,1.35,RU,1662890263
352,Inhambane,-23.865,35.3833,302.03,45,0,5.74,MZ,1662890263
353,Maragogi,-9.0122,-35.2225,297.56,77,22,4.2,BR,1662890264
